Publication Number,Title,Platform,Online
c1,Towards Automatic Training Design,c1,https://ieeexplore.ieee.org/document/8049080
c2,SymTest : A Framework for Symbolic Testing of Embedded Software,c2,https://dl.acm.org/doi/10.1145/2856636.2856642
c3,Test-the-REST: An Approach to Testing RESTful Web-services,c3,https://ieeexplore.ieee.org/document/5359602/
c4,Using Spreadsheets for Finite State Modelling,c4,https://dl.acm.org/doi/10.1145/1506216.1506223
c5,"Web Services Testing: New Challenges, New Approaches",c5,
c6,Software Reliability Prediction in Philips Healthcare -- An Experience Report,c6,
c7,Test Sequence Computation for Regression Testing of Reactive Systems,c7,https://dl.acm.org/doi/10.1145/1342211.1342238
c8,Specification Based Regression Testing using Explicit State Space Enumeration,c8,https://ieeexplore.ieee.org/document/4031805
c9,Connectedness Testing of RESTful Web-Services,c9,https://dl.acm.org/doi/10.1145/1730874.1730902
c10,Formal verification of avionics self-adaptive software,c10,https://dl.acm.org/doi/10.1145/2856636.2856658
c11,A Robust and Scalable Architecture for Airborne Radar Simulation,c11,https://ieeexplore.ieee.org/document/1273308
c12,A Robust Design of Airborne Radar Simulation Software using design patterns,c12,
c13,Airborne Radar Data Processor Simulation Using Software In The-Loop Model,c13,
c14,Specifying and Constructing Safety-Critical Real-time Systems using TAU,c14,
c15,Perspectives on the use of Model Based Development Approach For Safety Critical Avionics Software Development,c15,
c16,Architectural Semantics of AADL using Event-B,c16,https://ieeexplore.ieee.org/abstract/document/7019780
c17,Verification of Message Sequence Structures,c17,
c18,Improving estimation accuracy by using Case Based Reasoning and a combined estimation approach,c18,https://dl.acm.org/doi/10.1145/2134254.2134267
c19,A framework for decentralized access control,c19,https://dl.acm.org/doi/10.1145/1229285.1229302
c20,Formal safety analysis of mode transitions in aircraft flight control system,c20,https://ieeexplore.ieee.org/document/4391854
c21,Tool for Translating Simulink Models into Input Language of a Model Checker,c21,https://link.springer.com/chapter/10.1007/11901433_33
c22,A framework for rapid-prototyping of context based ubiquitous computing applications,c22,https://ieeexplore.ieee.org/document/1636192
c23,Reasoning about Layered Message Passing Systems,c23,https://dl.acm.org/doi/abs/10.1016/j.cl.2004.02.003
c24,Beyond Message Sequence Graphs,c24,https://link.springer.com/chapter/10.1007/3-540-45294-X_22
