ID,Name,Venue,Country,Month,Year,Online
c1,MITE 2016,"Madurai, INDIA",India,December,2016,
c2,ISEC 2016,"Goa, INDIA",India,February,2016,
c3,ISEC 2010,"Mysore, INDIA",India,February,2010,
c4,ISEC 2009,"Pune, INDIA",India,February,2009,
c5,STeP-IN Summit,"Bangalore, INDIA",India,February,2010,
c6,ISSRE,"Mysore, INDIA",India,2009,2009,
c7,ISEC 2008,"Hyderabad, INDIA",India,February,2008,
c8,ICSEA 2006,"Tahiti, French Polynesia",French Polynesia,,2006,
c9,ISEC 2010,"Mysore, INDIA",India,February,2010,
c10,ISEC 2016,"Goa, INDIA",India,February,2016,
c11,IEEE Region 10 Technical Conference on Convergent Technologies For The Asia-Pacific,"Bangalore, India",India,October,2003,
c12,National Conference on Object Oriented Technology 2003 (NCOOT 2003),"Lonere, Maharastra, India",India,August,2003,
c13,International Radar Symposium India,"Bangalore, India",India,December,2003,
c14,Telelogic User Group Conference,"Miami, Florida, USA",USA,October,2004,
c15,International Conference on Aerospace Science and Technology (INCAST) 2008,"National Science Seminar Complex IISc, Bangalore, India",India,,2008,
c16,"IEEE International Conference on Computing, Communication and Information Technology (IC3I)",,,,2014,
c17,International Conference on Distributed Computing and Internet Technology (ICDCIT),"171-182, LNCS 7753, Springer",,,2013,
c18,"ACM, India Software Engineering Conference (ISEC)","Kanpur, India",India,,2012,
c19,ACM Conference on Computer and Communications Security (ASIACCS),Singapore,Singapore,March,2007,
c20,26th IEEE Digital Avionics Systems Conference (DASC),"Salt Lake City, UT",USA,October,2007,
c21,8th International Conference on Formal Engineering Methods (ICFEM),"LNCS, Volume No. 4260, 606-620",,,2006,
c22,"IEEE International Conference on Sensor networks, Ubiquitous and Trustworthy Computing (SUTC)",306-311,,,2006,
c23,"4th International Conference on Verification, Model Checking and Abstract Interpretation (VMCAI)","LNCS, Volume No. 2575, 268-282, 2003",,,2003,
c24,21st Foundations of Software Technology and Theoretical Computer Science (FSTTCS) Conference,"LNCS, Volume No. 2245, 256-267",,,2001,
c25,"27th International Colloquium on Automata, Lauguages and Programming (ICALP)","LNCS, Volume No.1853, 487-498",,,2000,
c26,9th Intl. Conf. on Advanced Computing and Communication Technologies,Springer Advances in Intelligent System and Computing Series,,,2015,
