ID,Name,Venue,Country,Month,Year,Online,,,,
c1,MITE 2016,Madurai,India,December,2016,,,,,
c2,ISEC 2016,Goa,India,February,2016,,,,,
c3,ISEC 2010,Mysore,India,February,2016,,,,,
c4,ISEC 2009,Pune,India,February,2016,,,,,
c5,ISSRE,Mysore,India,,2009,,,,,
c6,ISEC 2008,Hyderabad,India,February,2008,,,,,
c7,ICSEA 2006,Tahiti, French Polynesia,,2006,,,,,
c8,ISEC 2010,Mysore,India,February,2010,,,,,
c9,ISEC 2016,Goa,India,February,2016,,,,,
c10,IEEE Region 10 Technical Conference on Convergent Technologies For The Asia-Pacific,Bangalore, India,October,2003,,,,,
c11,National Conference on Object Oriented Technology 2003 (NCOOT 2003),Lonere, India,August,2003,,,,,
c12,International Radar Symposium India,Bangalore, India,December,2003,,,,,
c13,Telelogic User Group Conference,Miami, USA,October,2004,,,,,
c14,International Conference on Aerospace Science and Technology (INCAST) 2008,, India,,2008,,,,,
c15,IEEE International Conference on Computing Communication and Information Technology (IC3I),,,,2014,,,,,
c16,International Conference on Distributed Computing and Internet Technology (ICDCIT),,,,2013,,,,,
c17, India Software Engineering Conference (ISEC),, India,,2012,,,,,
c18,ACM Conference on Computer and Communications Security (ASIACCS),,,,2007,,,,,
c19,26th IEEE Digital Avionics Systems Conference (DASC),,,,2007,,,,,
c20,8th International Conference on Formal Engineering Methods (ICFEM),LNCS,,,2006,,,,,
c21,IEEE International Conference on Sensor networks, Ubiquitous and Trustworthy Computing (SUTC),306-311,,2006,,,,,
c22,4th International Conference on Verification, Model Checking and Abstract Interpretation (VMCAI),,,2003,,,,,
c23,21st Foundations of Software Technology and Theoretical Computer Science (FSTTCS) Conference,LNCS,,,2001,,,,,
c24,27th International Colloquium on Automata, Lauguages and Programming (ICALP),,,2000,,,,,
c25,9th Intl. Conf. on Advanced Computing and Communication Technologies,Springer Advances in Intelligent System and Computing Series,,,2015,,,,,
c26,5th International Conference on Computing Communications and Informatics (ICACCI 2016),Jaipur,India,,2016,,,,,
c27,National Conference on Emerging Technologies in Computer Science 2010 (NCETCS-2010),Bangalore, INDIA,,2010,,,,,
c28,4th Asia-Pacific Conference on Systems Engineering (APCOSE 2010),National Taiwan Ocean University,Taiwan,,2010,,,,,
c29,5th Asia-Pacific Conference on Systems Engineering (APCOSE 2011),,South Korea,October,2011,,,,,
c30,5th Asia-Pacific Conference on Systems Engineering (APCOSE 2011),,South Korea,October,2011,,,,,
c31,COMSNETS-17,INDIA,,,2017,,,,,
c32,Innovations in Software Engineering Conference (ISEC) 2017,Jaipur,India,,2017,,,,,
c33,32nd ACM Symposium on Applied Computing – ACM SAC 2017,Marrakech, Morocco,April,2017,,,,,
c34,India Software Engineering Conference (ISEC),Hyderabad, India,February,,,2018,,,
c35,ICDCIT, LNCS 10772, Springer,,,,2018,,,
c36,28th IEEE ISSRE,Toulouse, France,,2017,,,,,
c37,SETTA 2017,,China,,,,2017,,,
c38,IEEE ICACCI 2017,,,,2017,,,,,
c39,in 36th IEEE/AIAA Digital Avionics Systems Conference (DASC),Florida,,September,2017,,,,,
c40,INCOSE International Symposium,,,July,2017,,,,,
c41,IEEE Technology and Engineering Management Conference (TEMSCON),,,,2017,,,,,
c42,Formal Methods for Safety and Security Case Studies for Aerospace Applications, Nanda,, Jeppu,,,,,May,2017
c43, Simulation Testing for Dependable Self-Adaptive Software in Avionics Systems,10th Annual ACM India Compute Conference,,,2017,,,,,
c44,in Proc. IEEE 13th System of Systems Engineering Conference,Paris, France,June,2018,,,,,
c45,in Proc. IEEE 4th International Conference on Advances in Computing and Communication Engineering,Paris, France,June,2018,,,,,
c46,in 2018 IEEE 23rd International Conference on Emerging Technologies and Factory Automation,,Italy,September,2018,,,,,
c47,in Proc. 7th IEEE ICACCI,,,,2018,,,,,
c48,ISEC,Jabalpur,India,February,2020,,,,,
c49,14th IFIP TC9 Human Choice and Computers Conference,Tokyo,,September,2020,,,,,
c50,The 36th ACM/SIGAPP Symposium on Applied Computing (SAC ’21),Virtual Event, Republic of Korea,March,2021,,,,,
